426;Liperi                                  
541;Nurmes                                  
309;Outokumpu                               
607;Polvijärvi                              
707;Rääkkylä                                
848;Tohmajärvi                              
911;Valtimo                                 
5;Alajärvi                                
10;Alavus                                  
52;Evijärvi                                
74;Halsua                                  
145;Ilmajoki                                
151;Isojoki                                 
152;Isokyrö                                 
164;Jalasjärvi                              
217;Kannus                                  
218;Karijoki                                
231;Kaskinen                                
232;Kauhajoki                               
233;Kauhava                                 
236;Kaustinen                               
272;Kokkola                                 
280;Korsnäs                                 
287;Kristiinankaupunki                      
288;Kruunupyy                               
300;Kuortane                                
301;Kurikka                                 
399;Laihia                                  
403;Lappajärvi                              
408;Lapua                                   
421;Lestijärvi                              
440;Luoto                                   
475;Maalahti                                
499;Mustasaari                              
545;Närpiö                                  
599;Pedersören kunta                        
584;Perho                                   
598;Pietarsaari                             
743;Seinäjoki                               
759;Soini                                   
846;Teuva                                   
849;Toholampi                               
893;Uusikaarlepyy                           
905;Vaasa                                   
924;Veteli                                  
934;Vimpeli                                 
946;Vöyri                                   
989;Ähtäri                                  
77;Hankasalmi                              
172;Joutsa                                  
179;Jyväskylä                               
182;Jämsä                                   
216;Kannonkoski                             
226;Karstula                                
249;Keuruu                                  
256;Kinnula                                 
265;Kivijärvi                               
275;Konnevesi                               
291;Kuhmoinen                               
312;Kyyjärvi                                
410;Laukaa                                  
435;Luhanka                                 
495;Multia                                  
500;Muurame                                 
592;Petäjävesi                              
601;Pihtipudas                              
729;Saarijärvi                              
850;Toivakka                                
892;Uurainen                                
931;Viitasaari                              
992;Äänekoski                               
9;Alavieska                               
69;Haapajärvi                              
71;Haapavesi                               
72;Hailuoto                                
105;Hyrynsalmi                              
139;Ii                                      
205;Kajaani                                 
208;Kalajoki                                
244;Kempele                                 
290;Kuhmo                                   
305;Kuusamo                                 
317;Kärsämäki                               
425;Liminka                                 
436;Lumijoki                                
483;Merijärvi                               
494;Muhos                                   
535;Nivala                                  
563;Oulainen                                
564;Oulu                                    
578;Paltamo                                 
615;Pudasjärvi                              
620;Puolanka                                
625;Pyhäjoki                                
626;Pyhäjärvi                               
630;Pyhäntä                                 
678;Raahe                                   
691;Reisjärvi                               
697;Ristijärvi                              
746;Sievi                                   
748;Siikajoki                               
791;Siikalatva                              
765;Sotkamo                                 
777;Suomussalmi                             
832;Taivalkoski                             
859;Tyrnävä                                 
889;Utajärvi                                
785;Vaala                                   
977;Ylivieska                               
47;Enontekiö                               
148;Inari                                   
240;Kemi                                    
320;Kemijärvi                               
241;Keminmaa                                
261;Kittilä                                 
273;Kolari                                  
498;Muonio                                  
583;Pelkosenniemi                           
854;Pello                                   
614;Posio                                   
683;Ranua                                   
698;Rovaniemi                               
732;Salla                                   
742;Savukoski                               
751;Simo                                    
758;Sodankylä                               
845;Tervola                                 
851;Tornio                                  
890;Utsjoki                                 
976;Ylitornio                               
